June 10, 2023 - 23:14:16 | App launched
June 10, 2023 - 23:14:16 | Wide
June 10, 2023 - 23:14:46 | App launched
June 10, 2023 - 23:14:46 | reset-vcgt
June 10, 2023 - 23:14:58 | apply-profiles
June 11, 2023 - 19:40:54 | App launched
June 11, 2023 - 19:40:54 | reset-vcgt
June 11, 2023 - 19:41:00 | apply-profiles
June 11, 2023 - 19:41:07 | reset-vcgt
June 14, 2023 - 23:09:37 | App launched
June 14, 2023 - 23:10:55 | App launched
June 14, 2023 - 23:17:58 | App launched
June 14, 2023 - 23:18:21 | App launched
June 14, 2023 - 23:19:52 | App launched
June 14, 2023 - 23:20:02 | App launched
June 14, 2023 - 23:20:10 | App launched
June 14, 2023 - 23:21:29 | App launched
June 14, 2023 - 23:21:37 | App launched
June 14, 2023 - 23:22:27 | App launched
June 14, 2023 - 23:23:12 | App launched
June 14, 2023 - 23:23:51 | App launched
June 14, 2023 - 23:30:22 | App launched
June 14, 2023 - 23:30:22 | DisplayCal Enabled
June 14, 2023 - 23:30:26 | DisplayCal Disabled
June 14, 2023 - 23:30:36 | DisplayCal Enabled
June 14, 2023 - 23:30:54 | DisplayCal Disabled
June 14, 2023 - 23:31:47 | App launched
June 14, 2023 - 23:31:47 | DisplayCal Disabled
June 14, 2023 - 23:31:52 | DisplayCal Enabled
June 14, 2023 - 23:32:08 | App launched
June 14, 2023 - 23:32:09 | DisplayCal Enabled
June 14, 2023 - 23:32:21 | DisplayCal Disabled
June 14, 2023 - 23:32:29 | DisplayCal Enabled
June 14, 2023 - 23:32:33 | DisplayCal Disabled
June 14, 2023 - 23:32:44 | DisplayCal Enabled
June 14, 2023 - 23:35:03 | App launched
June 14, 2023 - 23:35:03 | DisplayCal Enabled
June 14, 2023 - 23:35:12 | DisplayCal Disabled
June 14, 2023 - 23:35:19 | DisplayCal Enabled
June 14, 2023 - 23:35:34 | DisplayCal Disabled
June 14, 2023 - 23:35:57 | App launched
June 14, 2023 - 23:35:57 | DisplayCal Disabled
June 14, 2023 - 23:36:02 | DisplayCal Enabled
June 14, 2023 - 23:36:15 | DisplayCal Disabled
June 14, 2023 - 23:37:54 | App launched
June 14, 2023 - 23:37:54 | DisplayCal Disabled
June 14, 2023 - 23:38:01 | DisplayCal Enabled
June 14, 2023 - 23:38:35 | App launched
June 14, 2023 - 23:38:36 | DisplayCal Enabled
June 14, 2023 - 23:38:43 | DisplayCal Disabled
June 14, 2023 - 23:38:52 | DisplayCal Enabled
June 14, 2023 - 23:39:09 | DisplayCal Disabled
June 14, 2023 - 23:39:19 | DisplayCal Enabled
June 17, 2023 - 02:06:14 | App launched
June 17, 2023 - 02:06:15 | DisplayCal Enabled
June 17, 2023 - 02:22:10 | App launched
June 17, 2023 - 02:22:10 | apply-profiles
June 17, 2023 - 23:02:00 | App launched
June 17, 2023 - 23:02:55 | DisplayCal Disabled
June 17, 2023 - 23:04:07 | App launched
June 17, 2023 - 23:04:08 | DisplayCal Enabled
June 17, 2023 - 23:04:59 | App launched
June 17, 2023 - 23:05:12 | DisplayCal Disabled
June 17, 2023 - 23:05:48 | App launched
June 17, 2023 - 23:05:54 | DisplayCal Enabled
June 17, 2023 - 23:06:33 | App launched
June 17, 2023 - 23:06:36 | DisplayCal Disabled
June 17, 2023 - 23:07:03 | App launched
June 17, 2023 - 23:07:06 | DisplayCal Enabled
June 17, 2023 - 23:07:42 | App launched
June 17, 2023 - 23:07:45 | DisplayCal Disabled
June 17, 2023 - 23:08:06 | App launched
June 17, 2023 - 23:08:08 | DisplayCal Enabled
June 17, 2023 - 23:12:30 | App launched
June 17, 2023 - 23:12:34 | DisplayCal Disabled
June 17, 2023 - 23:12:48 | DisplayCal Enabled
June 17, 2023 - 23:13:08 | DisplayCal Disabled
